Time,Text,Show Information
"00:14:27,566",（アラン）ん？ ,time_render_05
"00:14:32,037",は… ,time_render_05
"00:14:33,639",（青銅(せいどう)）千の人間を食べて回復したようだな ,time_render_05
"00:14:38,277",彼女が ,time_render_05
"00:14:41,013",ん… ,time_render_05
"00:14:44,617",ごらん ,time_render_05
"00:14:48,387",島が影にのまれる ,time_render_05
"00:15:04,536",（ひづる）ハイネ… ,time_render_05
"00:15:09,908",（ハイネ）ああ… ,time_render_05
"00:15:12,244",うまいのう ,time_render_05
"00:15:17,416",（大影）これが 私のエンディング ,time_render_05
"00:15:20,953",（慎平）うう… ,time_render_05
"00:15:23,656",ご… ごめんな ,time_render_05
"00:15:26,325",うう… ぐ… ぐ… うう… ,time_render_05
"00:15:30,996",澪… ,time_render_05
"00:15:33,232",みんな… ,time_render_05
"00:15:35,968",くう… くうう… ,time_render_05
"00:15:40,472",すまない しんぺい君 ,time_render_05
"00:15:44,243",もっと早くに⸺ ,time_render_05
"00:15:46,145",私が あのメッセージを信じていれば ,time_render_05
"00:15:49,448",ゴホッ もはや手遅れだ ,time_render_05
"00:15:52,952",何もかも… ,time_render_05
"00:15:54,586",う… うう… ,time_render_05
"00:15:57,156",（慎平）違う！ ,time_render_05
"00:15:58,490",あ… ,time_render_05
"00:16:01,760",（慎平）あのときああしてればよかったとか… ,time_render_05
"00:16:05,497",なんで あんなこと言うてしもたんやとか… ,time_render_05
"00:16:09,802",後悔… ばっかりです ,time_render_05
"00:16:12,438",いっつもいっつも ,time_render_05
"00:16:15,674",でも今⸺ ,time_render_05
"00:16:17,476",まだ 俺は後悔してません！ ,time_render_05
"00:16:20,512",まだ 手遅れじゃありません！ ,time_render_05
"00:16:23,749",（慎平）南雲先生！（ひづる）あ… ,time_render_05
"00:16:26,118",（大影）ん？ ,time_render_05
"00:16:27,920",俺を撃ってください！ ,time_render_05
"00:16:29,955",殺してください！　この俺を！ ,time_render_05
"00:16:32,991",俺は死んで何回もやり直してるんです！ ,time_render_05
"00:16:36,195",は… ,time_render_05
"00:16:37,329",撃って！　俺の頭を！ ,time_render_05
"00:16:42,067",フ… ,time_render_05
"00:16:44,069",君は 本当に妙なことばかり…言うやつだな ,time_render_05
"00:16:49,508",俺なら戻れる！　22日に！ ,time_render_05
"00:16:54,313",（大影）無駄なこと ,time_render_05
"00:16:56,448",まったく… ,time_render_05
"00:16:58,083",最後の一発なんだぞ ,time_render_05
"00:17:01,053",（慎平）信じてください 先生！ ,time_render_05
"00:17:04,021",（大影）あなたも影に飲まれなさい ,time_render_05
"00:17:08,861",（影潮）ううっ こんの～！ ,time_render_05
"00:17:12,030",あっぽけ～！ ,time_render_05
"00:17:20,372",（ひづる）もしも 君本当に戻れたのなら⸺ ,time_render_05
"00:17:24,510",私に 君の名を名乗りたまえ ,time_render_05
"00:17:27,079",必ず助ける ,time_render_05
"00:17:28,847",（銃声） ,time_render_05
"00:17:39,158",（慎平）暗い ,time_render_05
"00:17:41,727",いない 誰もいない ,time_render_05
"00:17:46,398",消えた… ,time_render_05
"00:17:48,767",この光景は… ,time_render_05
"00:17:51,737",俺 また… ,time_render_05
"00:17:54,873",俯瞰(ふかん)してるのか？ ,time_render_05
"00:17:58,210",やめろ… ,time_render_05
"00:18:00,279",やめろ… ,time_render_05
"00:18:02,181",やめてくれ ,time_render_05
"00:18:13,926",島が… ,time_render_05
"00:18:17,729",なんだ あの赤い光 ,time_render_05
"00:18:22,401",女の子？ ,time_render_05
"00:18:25,070",今 目が合った… ,time_render_05
"00:18:29,308",（潮）慎平 ,time_render_05
"00:18:30,776",（慎平）あ… 潮？ ,time_render_05
"00:18:33,378",潮やろ！ ,time_render_05
"00:18:36,815",（潮）気をつけて 力には限りがある ,time_render_05
"00:18:40,385",夏祭りに みんな死ぬ ,time_render_05
"00:18:42,788",こ… 今度はハッキリ聞こえるぞ ,time_render_05
"00:18:45,290",潮 どこや！ ,time_render_05
"00:18:48,827",（潮）止められるんは慎平だけ ,time_render_05
"00:18:52,798",澪のこと⸺ ,time_render_05
"00:18:55,267",守っちゃってね ,time_render_05
"00:19:01,073",は… ,time_render_05
"00:19:02,107",（澪）東京は どう？渋谷(しぶや)行った？　渋谷！ ,time_render_05
"00:19:05,344",（慎平）ハアハアハア… ,time_render_05
"00:19:09,081",ハアハアハア… ,time_render_05
"00:19:12,251",（澪）ん… 慎ちゃん？ ,time_render_05
"00:19:14,820",（慎平）うぐ… ,time_render_05
"00:19:17,456",戻った… ,time_render_05
"00:19:20,159",う… ぶ… ,time_render_05
"00:19:21,527",うおええ… ,time_render_05
"00:19:22,828",（澪）し… 慎ちゃん!?（慎平）あう… ,time_render_05
"00:19:24,663",（慎平）あ… うう… うあ… ,time_render_05
"00:19:27,366",（慎平）やった ,time_render_05
"00:19:28,500",海落ちて 体冷えたんかな ,time_render_05
"00:19:30,969",（慎平）澪 生きてる ,time_render_05
"00:19:35,274",あう… ,time_render_05
"00:19:36,808",し… 慎ちゃん？ ,time_render_05
"00:19:39,378",よかった く… ,time_render_05
"00:19:41,847",だ… 大丈夫やちょっとフェリーで酔うただけ ,time_render_05
"00:19:47,152",あ… ,time_render_05
"00:19:48,654",（慎平）俺 服が濡(ぬ)れてる ,time_render_05
"00:19:51,523",あ… そうか ,time_render_05
"00:19:54,159",澪の自転車を止めようとして⸺ ,time_render_05
"00:19:56,528",海に落ちて逆に助けてもらったんだ ,time_render_05
"00:20:00,832",（澪）顔色悪いよ ,time_render_05
"00:20:02,701",うち寄って着替えてからちょっと休もう ,time_render_05
"00:20:06,138",携帯は無事でよかったけど ,time_render_05
"00:20:08,674",このまま２人共⸺ ,time_render_05
"00:20:10,209",体ベタベタさして葬式出るわけいかんし ,time_render_05
"00:20:14,379",（慎平）力には限りがある ,time_render_05
"00:20:16,915",あの潮のメッセージ ,time_render_05
"00:20:19,484",俯瞰するんだこれまでのできごとを ,time_render_05
"00:20:28,360",（慎平）１回目はフェリーの上 ,time_render_05
"00:20:30,529",２回目は上陸直後 ,time_render_05
"00:20:32,598",そして ３回目は澪と会ったあと ,time_render_05
"00:20:36,201",時間がループするスタート地点が徐々に遅くなってきている ,time_render_05
"00:20:40,839",目覚める前に起きたできごとは確定した事実になるらしい ,time_render_05
"00:20:46,278",つまり 俺が海に落ちないようにするすべは⸺ ,time_render_05
"00:20:49,414",もうない ,time_render_05
"00:20:51,416",次にループするときはおそらく⸺ ,time_render_05
"00:20:53,885",今回よりも遅い時間に目覚めるはず ,time_render_05
"00:20:57,322",もう何度も失敗できない ,time_render_05
"00:21:00,459",もしも澪たちが殺される時間より⸺ ,time_render_05
